Open,High,Low,Close,Adj Close,Volume,Date,company_name
231.5800018310547,231.8184051513672,231.38499450683594,231.46240234375,231.46240234375,0,2024-10-17,AAPL
231.4600067138672,232.0800018310547,231.32009887695312,232.02999877929688,232.02999877929688,384796,2024-10-17,AAPL
232.02000427246094,232.10000610351562,231.86000061035156,232.07000732421875,232.07000732421875,371860,2024-10-17,AAPL
232.08929443359375,232.57000732421875,231.9969024658203,232.38800048828125,232.38800048828125,417543,2024-10-17,AAPL
232.3834991455078,232.52999877929688,232.1199951171875,232.4001007080078,232.4001007080078,285450,2024-10-17,AAPL
232.42999267578125,232.48989868164062,232.00999450683594,232.01609802246094,232.01609802246094,301938,2024-10-17,AAPL
232.04200744628906,232.08990478515625,231.58999633789062,231.7100067138672,231.7100067138672,332468,2024-10-17,AAPL
231.7100067138672,232.15640258789062,231.4709930419922,231.6300048828125,231.6300048828125,298765,2024-10-17,AAPL
231.6199951171875,231.67990112304688,231.3800048828125,231.4810028076172,231.4810028076172,226954,2024-10-17,AAPL
231.49000549316406,231.49000549316406,231.1999969482422,231.4199981689453,231.4199981689453,310854,2024-10-17,AAPL
231.42999267578125,231.61000061035156,231.3300018310547,231.35989379882812,231.35989379882812,210144,2024-10-17,AAPL
231.36500549316406,231.63999938964844,231.2899932861328,231.2899932861328,231.2899932861328,176545,2024-10-17,AAPL
231.25999450683594,231.89990234375,231.22999572753906,231.8699951171875,231.8699951171875,191914,2024-10-17,AAPL
231.86000061035156,232.02999877929688,231.80999755859375,231.97500610351562,231.97500610351562,215200,2024-10-17,AAPL
231.97999572753906,232.24000549316406,231.9781036376953,232.04989624023438,232.04989624023438,223209,2024-10-17,AAPL
232.0399932861328,232.2050018310547,231.95779418945312,232.1199951171875,232.1199951171875,196359,2024-10-17,AAPL
232.12139892578125,232.3209991455078,232.0709991455078,232.25999450683594,232.25999450683594,192367,2024-10-17,AAPL
232.25999450683594,232.4499969482422,232.1699981689453,232.33990478515625,232.33990478515625,283871,2024-10-17,AAPL
232.35000610351562,232.47000122070312,232.0500030517578,232.3780059814453,232.3780059814453,243276,2024-10-17,AAPL
232.3800048828125,232.4250030517578,232.08999633789062,232.09109497070312,232.09109497070312,210105,2024-10-17,AAPL
232.11500549316406,232.2100067138672,232.0500030517578,232.125,232.125,133950,2024-10-17,AAPL
232.1199951171875,232.22999572753906,232.09800720214844,232.11000061035156,232.11000061035156,157389,2024-10-17,AAPL
232.10000610351562,232.5500030517578,232.10000610351562,232.54620361328125,232.54620361328125,226059,2024-10-17,AAPL
232.5399932861328,232.8040008544922,232.22999572753906,232.27999877929688,232.27999877929688,289948,2024-10-17,AAPL
232.2899932861328,232.3800048828125,232.1300048828125,232.2313995361328,232.2313995361328,182126,2024-10-17,AAPL
232.23379516601562,232.30999755859375,232.0850067138672,232.21499633789062,232.21499633789062,164784,2024-10-17,AAPL
232.22999572753906,232.32000732421875,232.17320251464844,232.27999877929688,232.27999877929688,143940,2024-10-17,AAPL
232.27999877929688,232.36000061035156,232.14999389648438,232.3217010498047,232.3217010498047,130033,2024-10-17,AAPL
232.32919311523438,232.3300018310547,232.14500427246094,232.25,232.25,98481,2024-10-17,AAPL
232.24000549316406,232.25,232.02999877929688,232.1103973388672,232.1103973388672,129260,2024-10-17,AAPL
232.11000061035156,232.25999450683594,232.10000610351562,232.1999969482422,232.1999969482422,116458,2024-10-17,AAPL
232.2100067138672,232.375,232.1999969482422,232.33999633789062,232.33999633789062,139371,2024-10-17,AAPL
232.3350067138672,232.36419677734375,232.1699981689453,232.36000061035156,232.36000061035156,106300,2024-10-17,AAPL
232.35499572753906,232.36520385742188,232.20199584960938,232.32000732421875,232.32000732421875,87705,2024-10-17,AAPL
232.34800720214844,232.37989807128906,232.06500244140625,232.1761016845703,232.1761016845703,136878,2024-10-17,AAPL
232.19000244140625,232.5,232.07000732421875,232.42999267578125,232.42999267578125,281095,2024-10-17,AAPL
232.4199981689453,232.4897003173828,232.2899932861328,232.36000061035156,232.36000061035156,652475,2024-10-17,AAPL
232.36000061035156,232.49000549316406,232.26010131835938,232.48550415039062,232.48550415039062,145084,2024-10-17,AAPL
232.48500061035156,232.52999877929688,232.39280700683594,232.40499877929688,232.40499877929688,143482,2024-10-17,AAPL
232.40130615234375,232.44000244140625,232.3300018310547,232.39199829101562,232.39199829101562,108824,2024-10-17,AAPL
232.41000366210938,232.52999877929688,232.3800048828125,232.3874053955078,232.3874053955078,112880,2024-10-17,AAPL
232.39999389648438,232.5749969482422,232.3800048828125,232.57000732421875,232.57000732421875,161448,2024-10-17,AAPL
